Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
7606 Roper St,Dallas,TX,75209,32.84868,-96.82989,4577,https://www.zillow.com/homedetails/7606-Roper-St-Dallas-TX-75209/96527716_zpid/,1400000,House,,"This is it, a fresh take on the modern farmhouse!  The long linear floor plan by architect Paul Merrill uses a retractable glass wall to connect the living & dining rooms, bar, and kitchen to the outdoor living area. Synthetic turf minimizes the mess and ensures that the entire the yard can be an extension of the house. With 5 bedrooms plus an office and a spacious game-room, this one is ready to grow with your needs. There are two bedrooms on the ground level and 3 up. The property even offers an abundance of parking accommodating up to 6 cars, 4 are behind a motorized gate. The clever design offers plenty of storage and a large chef's kitchen with an oversized buffet area that's sure to make your holiday entertaining a breeze. The neighborhood is located in near Inwood Village, and offers easy access to Uptown-Downtown and Love Field airport. The property feeds into a highly acclaimed elementary school for the gifted. Ask agent for videos and 3d virtual tour!Chevron DownShow more",5,6,4054,269,40 , 15 x 12,,"Central, Electric","Central Air, Electric",,"Wet Bar, Built-in Features, Decorative/Designer Lighting Fixtures, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Walk-In Closet(s), Wired for Sound",,2,8899 ,00000341785000000," Contemporary/Modern , Farmhouse , Modern , DetachedProperty ",SingleFamily,2023," Sewer Available, Water Available","Security System, Fire Alarm, Security Gate, Smoke Detector(s), Security Lights",Roper Heights,3%, 34 x 17,2,2,2,"Curbs, Sidewalks",,,,"Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
10834 Cassandra Way,Dallas,TX,75228,32.842037,-96.66199499999999,1336,https://www.zillow.com/homedetails/10834-Cassandra-Way-Dallas-TX-75228/26843057_zpid/,274900,House,Detached garageLarge kitchenNice quartz countersNew appliancesNew central heatNew water heater,"This updated 3-bedroom, 2-bathroom home with a 2-car garage is a must-see! The house features all new central heat and air, a new water heater, and a roof less than 2 years old. Foundation adjusted recently with a warranty. The large kitchen boasts nice quartz counters and all new appliances. The detached garage is located in a nice-sized patio. Private financing is available for select buyers and ITIN buyers are welcome. See documents in media. owner is the lender as this is a foreclosure.Chevron DownShow more",3,2,1305,138,5 , 1 x 1,Combination,Central,"Central Air, Ceiling Fan(s)","Dishwasher, Gas Oven, Gas Range","Granite Counters, Cable TV",,1,9844 ,, DetachedProperty ,SingleFamily,1955," Sewer Available, Water Available, Cable Available",,Country Club Park 01,2.5%,,2,2,2,,,,,,,,,,,,,,
4006 Roberts Ave,Dallas,TX,75215,32.76477,-96.75414,1861,https://www.zillow.com/homedetails/4006-Roberts-Ave-Dallas-TX-75215/96510895_zpid/,263000,New construction,Open loft areaOpen floor planSpacious bedroomsBuilt-in ss appliancesCovered patioHalf bathroomJack n jill bathroom,"Welcome to your stunning new home 4 bed, 2.5 bath, 1 car garage home, featuring an open floor plan perfect for hosting guests or spending time with family. The family room, dining area, and kitchen flow seamlessly together, boasting beautiful quartz countertops, built-in SS appliances, and recessed lighting. The primary suite offers a spacious ensuite bathroom, tub with shower, and walk-in closet. A half bathroom is available for guests on the first floor. Upstairs, an open loft area can be used as an office or second family room. Three spacious bedrooms with closets, a jack n jill bathroom, and laundry complete the second floor. Enjoy privacy in the fenced yard w a covered patio. Fairpark area within minutes from entertainment and easy access to highways.  Buyer's household income can be 81-115% AMI. Please look at AMI on MLS documents. The City of Dallas Land Bank has a five years deed restriction from the date the home is sold to a qualified buyer. Buyer to pay Survey and Warranty.Chevron DownShow more",4,3,4158,391,137 , 14 x 16,"Carpet, Luxury Vinyl Plank, Tile",Central,Central Air,"Dishwasher, Electric Range, Microwave",,,2,3963 ,00000176221000000," Traditional , DetachedProperty ",SingleFamily,," Electricity Available, Electricity Connected, Sewer Available, Water Available, Cable Available","Prewired, Security System, Fire Alarm, Smoke Detector(s)",H T Lackeys 02 Ave,2.5%, 6 x 11,1,1,1,Sidewalks,,,,,,,,Window Coverings," High Speed Internet, Open Floorplan, Cable TV",,,,
3907 Aransas St,Dallas,TX,75212,32.789265,-96.87529,,https://www.zillow.com/homedetails/3907-Aransas-St-Dallas-TX-75212/96496270_zpid/,315000,Lot / Land,,There is currently one lot here that can be subdivided into two equal lots. Great location for residential home.Chevron DownShow more,0.33,a,34,1,1,,,,,,,,,,00000683797000000Zoning description: Z297,,,," Cable Available, Natural Gas Available, Sewer Available, Separate Meters, Water Available",,Westmoreland Park 03,3.0%,,,,,"Curbs, Sidewalks",,,,,,,,,,,,,
14903 Woodbriar Dr,Dallas,TX,75248,32.951653,-96.79795,3507,https://www.zillow.com/homedetails/14903-Woodbriar-Dr-Dallas-TX-75248/26872791_zpid/,985000,House,Spacious roomsGas logsLaundry roomPrimary laundry,"It’s gorgeous! One story home with spacious rooms in Prestonwood Estates. Granite, hardwoods, Subzero (2019), laundry room plus Primary laundry, oversize 3 car garage with built-ins, and class IV 50 year roof in 2011. Both fireplaces with gas logs, expansive floored attic. Office could be fourth bedroom.Chevron DownShow more",3,3,892,39,4 ,,,"Central, Fireplace(s), Natural Gas","Central Air, Ceiling Fan(s), Electric, Multi Units","Built-In Refrigerator, Double Oven, Dryer, Dishwasher, Electric Cooktop, Electric Oven, Electric Range, Ice Maker, Microwave, Refrigerator","Wet Bar, Built-in Features, Chandelier, Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Pantry, Cable TV, Vaulted Ceiling(s), Natural Woodwork, Walk-In Closet(s), Wired for Sound",,1,13068,00000796941910000," Traditional , DetachedProperty ",SingleFamily,1990," Electricity Connected, Natural Gas Available, Phone Available, Sewer Available, Separate Meters, Underground Utilities, Water Available, Cable Available",,Prestonwood Estates Sec 08,2%,,3,3,3,,,,,,,,,,,,,,
16505 Dundrennan Ln,Dallas,TX,75248,32.9798,-96.77804,3146,https://www.zillow.com/homedetails/16505-Dundrennan-Ln-Dallas-TX-75248/26875366_zpid/,999550,House,Expansive quartzite countertopsNew windowsCustom white oak cabinetryVenetian plaster fireplaceHardwoods throughoutNew roofOpen kitchen,"Stunning renovation presented by 23LUX & Design by LaTrice Thomas.  As you step through the front door, the vibrant energy of the living space envelops you offering a sense of place.  Meticulously transformed presenting a fresh, inviting ambiance, ideal for both entertaining and unwinding on lazy afternoons by the pool. In Richardson ISD, this home boasts an array of impressive features including level 5 finish walls, full sprinkler system, 8ft cedar fence, new windows, hardwoods throughout, new roof & gutters. The open kitchen is highlighted by expansive quartzite countertops & custom white oak cabinetry, providing both functionality & style. The living room features a Venetian plaster fireplace, an elegant focal point for the space. This well appointed home offers 5 bdrms, 3 baths, plus office and backs up to beautiful walking and biking Preston Ridge Trail.  This renovated gem offers the perfect blend of style, comfort, and practicality, making it an ideal place to call home.Chevron DownShow more",5,3,3672,276,61 , 15 x 12,"Carpet, Ceramic Tile, Wood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Some Gas Appliances, Dishwasher, Disposal, Gas Range, Microwave, Plumbed For Gas",,,1,11325,00000799448680000," Contemporary/Modern , Ranch , Tudor , Traditional , DetachedProperty ",SingleFamily,1978," Sewer Available, Water Available, Cable Available","Carbon Monoxide Detector(s), Fire Alarm",Highlands North Sec 02,3%,,2,2,2,Curbs,,,, Electric Dryer Hookup,,,,Bay Window(s)," Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s)",,,,
4242 N Capistrano Dr Apt 224,Dallas,TX,75287,33.005814,-96.83538,1384,https://www.zillow.com/homedetails/4242-N-Capistrano-Dr-APT-224-Dallas-TX-75287/26672734_zpid/,310000,Condo,Fresh airButcher block countertopsPrivate courtyardNew countertopsBeautiful lvp throughoutNew rangeReading nook,"Rare find in Villas at Parkway Village!  Beautiful LVP throughout this darling condo.  Living area is open and bright and big enough for dining!  Kitchen has been nicely updated with butcher block countertops, new range and new fridge!  Downstairs bedroom features ensuite bath that is gorgeous! Walk in shower, huge closet with custom organization system and new countertops.  Updstairs loft is a great flex space for office, music area, reading nook or second living space.  Bedroom updstairs doubles as second master suite.  Double sinks, double closets and large garden tub with balcony for fresh air and and natural light.  Private courtyard is maintained by HOA.  HOA dues include water, sewer, back and front yard maintainence, full use of pool and tennis courts.  Neighborhood is quiet and private; a true oasis in the heart of North Dallas. Bring offers soon! This won't last long!Chevron DownShow more",2,2,1021,67,6 ,,"Luxury Vinyl Plank, Tile","Central, Electric","Attic Fan, Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Oven, Electric Range, Electric Water Heater, Disposal, Microwave, Refrigerator",,,2,936.54 ,R40840FF22401, SpanishProperty ,Condo,1986," Electricity Connected, Sewer Available, Water Available, Cable Available",,Villas Condo At Parkway Village,3%, 9 x 14,1,1,1,"Clubhouse, Curbs, Pool, Tennis Court(s)",,,," Electric Dryer Hookup, In Kitchen",,Yes,300.0,Window Coverings," Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Cable TV",,,,
1821 Watkins Ave,Dallas,TX,75204,32.796009999999995,-96.79184000000001,,https://www.zillow.com/homedetails/1821-Watkins-Ave-Dallas-TX-75204/2117153395_zpid/,439999,Lot / Land,Local retail,"Priced for two lots-1821 Watkins Avenue and 1823 Watkins Ave.  Unique piece of land located near downtown Dallas and other amenities!  This Multi-family zoned piece of of land is perfect for any builder or investor that is seeking to create a unique residence for homeowners desiring to live close to the action!  Current townhomes are adjacent and this lot creates the opportunity to continue multi-family living.  A home with a view of beautiful downtown could easily be created.  NO obstructions!  Local retail, shopping and convenience.  An opportunity awaits!Chevron DownShow more","2,091", ,33,1,1,,,,,,,,,2090 ,00000115099000000Zoning description: Multi family,,,," Cable Available, Electricity Available, Sewer Available, Water Available",,Burk & Slaughter Rev,2%,,,,,"Curbs, Sidewalks",,,,,,,,,,,,,
14962 Trafalgar Ct,Dallas,TX,75254,32.95062,-96.81442,2942,https://www.zillow.com/homedetails/14962-Trafalgar-Ct-Dallas-TX-75254/26936269_zpid/,725000,House,,"Welcome to this charming, well-maintained home nestled in the heart of Addison's Oaks North. With 3 bedrooms (2 down), 4 bathrooms, and 2 living areas, this residence is designed for effortless entertaining. Step into the backyard oasis, where you'll discover a pool and spa, ideal for leisurely afternoons and hosting outdoor gatherings. Lounge poolside or enjoy the deck next to the inground grill, perfect for sizzling barbecues and creating lasting memories. Inside, the thoughtfully designed floor plan offers a seamless flow, providing both comfort and style. Whether it's family time or hosting friends, this home accommodates your every need. Located in the serene surroundings of Addison's Oaks North, you'll find yourself immersed in a peaceful atmosphere, while still enjoying convenient access to shopping, dining, and AAC.This home presents an exceptional opportunity to embrace a lifestyle of elegance, comfort, and convenience.Chevron DownShow more",3,4,2542,161,207 ,,"Carpet, Ceramic Tile, Hardwood, Wood","Central, Natural Gas, Zoned","Central Air, Electric, Zoned","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Gas Water Heater, Microwave",,,,8015 ,10000927415660000," Traditional , DetachedProperty ",SingleFamily,1984," Natural Gas Available, Sewer Available, Separate Meters, Water Available",Fire Alarm,Oaks North,2.5%,,2,2,2,Other,,,, Laundry in Utility Room,,Yes,12.0,"Plantation Shutters, Skylight(s)"," Wet Bar, Built-in Features, Chandelier, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Pantry, Vaulted Ceiling(s), Walk-In Closet(s)",,,,
4014 Roberts Ave,Dallas,TX,75215,32.764603,-96.75395999999999,1861,https://www.zillow.com/homedetails/4014-Roberts-Ave-Dallas-TX-75215/96503729_zpid/,263000,New construction,Recessed lightingBeautiful quartz countertopsHalf bathroomOpen floor planFenced yardPrimary suiteSpacious ensuite bathroom,"Stunning new home 4 bed, 2.5 bath, 1 car garage home, featuring an open floor plan perfect for hosting guests or spending time with family. The family room, dining area, and kitchen flow seamlessly together, boasting beautiful quartz countertops, built-in SS appliances, and recessed lighting. The primary suite offers a spacious ensuite bathroom, tub with shower, and walk-in closet. A half bathroom is available for guests on the first floor. Upstairs, an open loft area can be used as an office or second family room. 3 spacious bedrooms with closets, a jack n jill bathroom, and laundry complete the second floor. Enjoy privacy in the fenced yard w a covered patio. Fairpark area within minutes from entertainment and easy access to highways. Buyer's household income can be 81-115% AMI. The City of Dallas Land Bank has a five years deed restriction from the date the home is sold to a qualified buyer. Buyer to pay Survey and Warranty.  Please look at AMI on MLS documents.Chevron DownShow more",4,3,6181,388,165 , 11 x 9,"Carpet, Luxury Vinyl Plank, Tile",Central,Central Air,"Dishwasher, Electric Range, Microwave","High Speed Internet, Open Floorplan, Cable TV",,2,3963 ,00000176215000000," Traditional , DetachedProperty ",SingleFamily,," Electricity Available, Electricity Connected, Sewer Available, Water Available, Cable Available","Prewired, Security System, Fire Alarm, Smoke Detector(s)",H T Lackeys 02 Ave,2.5%, 6 x 11,1,1,1,Sidewalks,,,,,,,,,,,,,
5002 Horseshoe Trl,Dallas,TX,75209,32.856804,-96.82503,3117,https://www.zillow.com/homedetails/5002-Horseshoe-Trl-Dallas-TX-75209/26760702_zpid/,1895000,House,Turfed backyardGas fireplaceLarge outdoor porchOutdoor diningBonus roomOpen dining roomMature trees,"Hard to find one-story, low maintenance home in fabulous Bluffview location…this move-in ready home sits on large corner lot with mature trees and views from every window which allow natural light to fill home. Oversized living room allows for wonderful flow for entertaining with open dining room and kitchen. Home easily flows into screened-porch with built in heater and skylights. Walk outside onto large outdoor porch with plenty of room for seating or outdoor dining overlooking turfed backyard, lush landscaping, and pool with fountains.  The bedrooms are split with primary bedroom having a private, separate sitting room with views of the backyard, large bedroom with gas fireplace, large walk-in closet, and bath with separate tub and shower.  The other wing of the home houses the third bedroom, large bath, bonus room for an office or exercise, and an infra-red sauna.  The generator for the home is a bonus as is the Zen garden with fountain which is ready for koi if desired.Chevron DownShow more",3,4,1167,50,4 , 9 x 7,Hardwood,"Central, Natural Gas","Central Air, Electric","Some Gas Appliances, Double Oven, Dishwasher, Gas Cooktop, Disposal, Microwave, Plumbed For Gas, Refrigerator",,,1,12632,00000425176000000," Traditional , DetachedProperty ",SingleFamily,1947," Sewer Available, Water Available",Security System Owned,Colony Ridge Rev,3%,,2,2,2,,,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,"Skylight(s), Window Coverings"," Dry Bar, Granite Counters, Wired for Sound",,,,
